participant,scriptDate,trialNo,blockType,task,fixationFrames,postFixationFrames,targetFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc,creditsEarned,letternumber,trials,switchProportion,switches,switch,question,colourCue,correctAnswer,correctKey
103,2018_06_27,1,actual,shiftingLetterNumber,30,,120,17.77157673581314,18.871590841310535,11.7678586194,1,,,,3.0,,,1,0,0,f9,80,0.5,40,0,house,white,new,4
103,2018_06_27,2,actual,shiftingLetterNumber,30,,120,21.870382018285454,22.970393307801714,,1,,2,0.908831908833,3.0,16.0,,2,0,0,g6,80,0.5,40,0,house,white,new,4
103,2018_06_27,3,actual,shiftingLetterNumber,30,,120,25.969576417865028,27.0695900113642,,1,,3,0.392130720822,2.0,16.0,,3,0,0,p8,80,0.5,40,0,house,white,new,4
103,2018_06_27,4,actual,shiftingLetterNumber,30,,120,29.06870937790154,30.168721435413318,,1,,3,0.550459913386,5.0,16.0,,4,0,0,g1,80,0.5,40,1,face,blue,female,2
103,2018_06_27,5,actual,shiftingLetterNumber,30,,120,35.16802281659693,36.26803410611319,,1,,3,0.417110759368,3.0,15.0,,5,1,0,m3,80,0.5,40,1,house,white,old,3
103,2018_06_27,6,actual,shiftingLetterNumber,30,,120,39.26722387213158,40.3672338816541,,1,,3,0.375458332597,4.0,16.0,,6,0,0,i6,80,0.5,40,1,face,blue,female,2
103,2018_06_27,7,actual,shiftingLetterNumber,30,,120,44.36646332737655,45.466476152880205,,1,,1,0.40043683516,6.0,15.0,,7,1,0,o6,80,0.5,40,0,face,blue,male,1
103,2018_06_27,8,actual,shiftingLetterNumber,30,,120,51.46583231765908,52.56584232718524,,1,,3,0.333757522185,2.0,16.0,,8,0,0,f2,80,0.5,40,0,face,blue,female,2
103,2018_06_27,9,actual,shiftingLetterNumber,30,,120,54.5649609257307,55.66497400723165,,1,,3,0.550468105328,2.0,16.0,,9,0,0,f9,80,0.5,40,1,house,white,new,4
103,2018_06_27,10,actual,shiftingLetterNumber,30,,120,57.66413458946408,58.76414664697586,,1,,3,0.842182547636,1.0,15.0,,10,1,0,m4,80,0.5,40,0,house,white,old,3
103,2018_06_27,11,actual,shiftingLetterNumber,30,,120,59.763217373874795,60.863227383400954,,1,,4,0.867102170632,2.0,16.0,,11,0,0,g2,80,0.5,40,0,house,white,old,3
