bids_name,fd_mean,fd_perc,fd_num
sub-109_task-gonogo_run-01_bold,0.07252596,3.191489362,3
sub-109_task-gonogo_run-02_bold,0.087468609,4.081632653,4
sub-109_task-switch_bold,0.080689226,2.645502646,5
sub-110_task-choose_run-01_bold,0.084202837,0,0
sub-110_task-choose_run-02_bold,0.080729432,0,0
sub-110_task-choose_run-03_bold,0.0977475,4.651162791,6
sub-110_task-choose_run-04_bold,0.1032741,6.153846154,8
sub-110_task-choose_run-05_bold,0.102225922,7.692307692,10
sub-110_task-choose_run-06_bold,0.110139192,10,13
sub-110_task-choose_run-07_bold,0.094231682,4.615384615,6
sub-110_task-choose_run-08_bold,0.090279221,3.846153846,5
sub-110_task-choose_run-09_bold,0.09808004,6.153846154,8
sub-110_task-gonogo_run-01_bold,0.115165259,6.060606061,6
sub-110_task-gonogo_run-02_bold,0.086921093,1,1
sub-110_task-switch_bold,0.080679278,3.157894737,6
sub-111_task-choose_run-01_bold,0.098223116,3.846153846,5
sub-111_task-choose_run-02_bold,0.09754328,2.307692308,3
sub-111_task-choose_run-03_bold,0.095862705,4.651162791,6
sub-111_task-choose_run-04_bold,0.108332492,2.325581395,3
sub-111_task-choose_run-05_bold,0.098345575,3.076923077,4
sub-111_task-choose_run-06_bold,0.1130066,8.527131783,11
sub-111_task-choose_run-07_bold,0.111188454,3.875968992,5
sub-111_task-choose_run-08_bold,0.120553924,9.230769231,12
sub-111_task-choose_run-09_bold,0.145076573,13.95348837,18
sub-111_task-gonogo_run-01_bold,0.112591495,7.142857143,7
sub-111_task-gonogo_run-02_bold,0.105231394,6.12244898,6
sub-111_task-switch_bold,0.133850541,12.16931217,23
sub-112_task-choose_run-01_bold,0.056734081,0,0
sub-112_task-choose_run-02_bold,0.067707532,0.775193798,1
sub-112_task-choose_run-03_bold,0.060810106,0,0
sub-112_task-choose_run-04_bold,0.072872865,0.769230769,1
sub-112_task-choose_run-05_bold,0.066536285,1.538461538,2
sub-112_task-choose_run-06_bold,0.073348361,1.538461538,2
sub-112_task-choose_run-07_bold,0.076398567,1.538461538,2
sub-112_task-choose_run-08_bold,0.074517172,0,0
sub-112_task-choose_run-09_bold,0.058366089,0.775193798,1
sub-112_task-gonogo_run-01_bold,0.044333254,0,0
sub-112_task-gonogo_run-02_bold,0.057376491,1.01010101,1
sub-112_task-switch_bold,0.050368414,0,0
sub-113_task-choose_run-01_bold,0.137936741,9.302325581,12
sub-113_task-choose_run-02_bold,0.150246028,21.70542636,28
sub-113_task-choose_run-03_bold,0.144962038,17.69230769,23
sub-113_task-choose_run-04_bold,0.126637209,16.92307692,22
sub-113_task-choose_run-05_bold,0.189691278,35.43307087,45
sub-113_task-choose_run-06_bold,0.09417042,9.230769231,12
sub-113_task-choose_run-07_bold,0.205867802,36.92307692,48
sub-113_task-choose_run-08_bold,0.232828576,37.69230769,49
sub-113_task-choose_run-09_bold,0.305236115,51.5625,66
sub-113_task-gonogo_run-01_bold,0.24326586,35,35
sub-113_task-gonogo_run-02_bold,0.29913924,51.54639175,50
sub-113_task-switch_bold,0.164042379,26.06382979,49
sub-114_task-choose_run-01_bold,0.08605702,0,0
sub-114_task-choose_run-02_bold,0.094898496,2.307692308,3
sub-114_task-choose_run-03_bold,0.093286814,0.769230769,1
sub-114_task-choose_run-04_bold,0.088895169,0,0
sub-114_task-choose_run-05_bold,0.084498476,0,0
sub-114_task-choose_run-06_bold,0.086120024,0.775193798,1
sub-114_task-choose_run-07_bold,0.084726895,0.775193798,1
sub-114_task-choose_run-08_bold,0.090119587,0,0
sub-114_task-choose_run-09_bold,0.092791889,0,0
sub-114_task-gonogo_run-01_bold,0.06979573,0,0
sub-114_task-gonogo_run-02_bold,0.074353446,0,0
sub-114_task-switch_bold,0.088000335,0,0
sub-115_task-choose_run-01_bold,0.184517286,36.92307692,48
sub-115_task-choose_run-02_bold,0.215922258,44.61538462,58
sub-115_task-choose_run-03_bold,0.19252614,44.61538462,58
sub-115_task-choose_run-04_bold,0.168309457,35.38461538,46
sub-115_task-choose_run-05_bold,0.157968891,30,39
sub-115_task-choose_run-06_bold,0.153069592,27.69230769,36
sub-115_task-choose_run-07_bold,0.190496487,40.76923077,53
sub-115_task-choose_run-08_bold,0.218521231,43.84615385,57
sub-115_task-choose_run-09_bold,0.195064718,43.07692308,56
sub-115_task-gonogo_run-01_bold,0.107123919,10,10
sub-115_task-gonogo_run-02_bold,0.13736239,22,22
sub-115_task-switch_bold,0.142612893,16.93121693,32
sub-116_task-choose_run-01_bold,0.125572773,4.615384615,6
sub-116_task-choose_run-02_bold,0.140979761,17.69230769,23
sub-116_task-choose_run-03_bold,0.170537876,25.38461538,33
sub-116_task-choose_run-04_bold,0.150076541,20.63492063,26
sub-116_task-choose_run-05_bold,0.144248761,15.38461538,20
sub-116_task-choose_run-06_bold,0.15589103,17.69230769,23
sub-116_task-choose_run-07_bold,0.154579805,15.38461538,20
sub-116_task-choose_run-08_bold,0.146434265,12.30769231,16
sub-116_task-choose_run-09_bold,0.140786901,11.53846154,15
sub-116_task-gonogo_run-01_bold,0.130590977,4,4
sub-116_task-gonogo_run-02_bold,0.10544596,6.060606061,6
sub-116_task-switch_bold,0.112862189,2.631578947,5
sub-118_task-choose_run-01_bold,0.142812586,19.23076923,25
sub-118_task-choose_run-02_bold,0.126474752,15.50387597,20
sub-118_task-choose_run-03_bold,0.112039763,13.07692308,17
sub-118_task-choose_run-04_bold,0.174429017,25.38461538,33
sub-118_task-choose_run-05_bold,0.144158921,23.84615385,31
sub-118_task-choose_run-06_bold,0.120781285,11.53846154,15
sub-118_task-choose_run-07_bold,0.134739013,15.38461538,20
sub-118_task-choose_run-08_bold,0.076247935,5.384615385,7
sub-118_task-choose_run-09_bold,0.147582162,21.53846154,28
sub-118_task-gonogo_run-01_bold,0.092906079,6.060606061,6
sub-118_task-gonogo_run-02_bold,0.070804986,5.050505051,5
sub-118_task-switch_bold,0.101385377,7.368421053,14
sub-119_task-choose_run-01_bold,0.137159814,18.46153846,24
sub-119_task-choose_run-02_bold,0.113976737,8.461538462,11
sub-119_task-choose_run-03_bold,0.098909632,6.923076923,9
sub-119_task-choose_run-04_bold,0.099729213,6.153846154,8
sub-119_task-choose_run-05_bold,0.12214343,10,13
sub-119_task-choose_run-06_bold,0.108052469,3.100775194,4
sub-119_task-choose_run-07_bold,0.122082086,7.692307692,10
sub-119_task-choose_run-08_bold,0.122095579,12.30769231,16
