participant,scriptDate,trialNo,blockType,task,fixationFrames,postFixationFrames,targetFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc,creditsEarned,letternumber,trials,switchProportion,switches,switch,question,colourCue,correctAnswer,correctKey
129,2018_06_27,1,actual,shiftingLetterNumber,30,,120,19.625376798165235,20.725386551719566,13.6201198637,1,,,,6.0,,,1,0,0,g6,80,0.5,40,0,face,blue,female,3
129,2018_06_27,2,actual,shiftingLetterNumber,30,,120,26.72472991491304,27.82474171645663,,1,,3,0.000409086009313,4.0,16.0,,2,0,0,m3,80,0.5,40,1,house,white,old,1
129,2018_06_27,3,actual,shiftingLetterNumber,30,,120,31.824013143999764,32.92402315355139,,1,,,,4.0,,,3,0,0,g1,80,0.5,40,1,face,blue,female,3
129,2018_06_27,4,actual,shiftingLetterNumber,30,,120,36.924287344263576,38.02430196179557,,1,,3,0.775440964255,6.0,15.0,,4,1,0,i6,80,0.5,40,0,face,blue,female,3
129,2018_06_27,5,actual,shiftingLetterNumber,30,,120,44.0236507009613,45.123662502504885,,1,,,,1.0,,,5,0,0,o2,80,0.5,40,0,face,blue,male,4
129,2018_06_27,6,actual,shiftingLetterNumber,30,,120,46.12275165893516,47.22276371647604,,1,,1,0.717211487485,5.0,16.0,,6,0,0,f6,80,0.5,40,1,house,white,new,2
129,2018_06_27,7,actual,shiftingLetterNumber,30,,120,52.22304633910244,53.32305609265313,,1,,,,4.0,,,7,0,0,f2,80,0.5,40,0,house,white,old,1
129,2018_06_27,8,actual,shiftingLetterNumber,30,,120,57.32231318426784,58.422325753806945,,1,,,,6.0,,,8,0,0,i1,80,0.5,40,0,house,white,old,1
129,2018_06_27,9,actual,shiftingLetterNumber,30,,120,64.42172364473663,65.52173544627658,,1,,3,0.800387018917,2.0,15.0,,9,1,0,h9,80,0.5,40,1,face,blue,female,3
129,2018_06_27,10,actual,shiftingLetterNumber,30,,120,67.52186882163005,68.62188087917093,,1,,4,0.858811310743,3.0,15.0,,10,1,0,p3,80,0.5,40,0,face,blue,male,4
