participant,scriptDate,trialNo,blockType,task,fixationFrames,postFixationFrames,targetFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc,creditsEarned,letternumber,trials,switchProportion,switches,switch,question,colourCue,correctAnswer,correctKey
125,2018_06_27,1,actual,shiftingLetterNumber,30,,120,22.036826094601565,23.13684020009896,16.0329362035,1,,3,0.392119712902,5.0,15.0,,1,1,0,o2,80,0.5,40,0,house,blue,old,3
125,2018_06_27,2,actual,shiftingLetterNumber,30,,120,28.13655348222528,29.236564259746956,,1,,2,0.533749381444,5.0,15.0,,2,1,0,n2,80,0.5,40,1,face,white,male,2
125,2018_06_27,3,actual,shiftingLetterNumber,30,,120,34.235860520970164,35.335873090476525,,1,,3,0.45045143985,4.0,16.0,,3,0,0,p6,80,0.5,40,1,house,blue,new,4
125,2018_06_27,4,actual,shiftingLetterNumber,30,,120,39.3351327439741,40.43514403349036,,1,,4,0.37545423663,5.0,16.0,,4,0,0,g4,80,0.5,40,0,house,blue,old,3
125,2018_06_27,5,actual,shiftingLetterNumber,30,,120,45.43439626304098,46.53440908854827,,1,,1,0.342104852214,5.0,15.0,,5,1,0,g7,80,0.5,40,1,face,white,female,1
125,2018_06_27,6,actual,shiftingLetterNumber,30,,120,51.533681797944155,52.63369257546583,,1,,3,0.742054010989,3.0,16.0,,6,0,0,h6,80,0.5,40,1,house,blue,new,4
125,2018_06_27,7,actual,shiftingLetterNumber,30,,120,55.63291280525664,56.73292332677738,,1,,,,1.0,,,7,0,0,h4,80,0.5,40,1,face,white,female,1
125,2018_06_27,8,actual,shiftingLetterNumber,30,,120,57.732029125414556,58.832039134940715,,1,,2,0.708789105949,3.0,15.0,,8,1,0,m4,80,0.5,40,0,face,white,male,2
125,2018_06_27,9,actual,shiftingLetterNumber,30,,120,61.8312304369465,62.93124095846724,,1,,1,0.850447190278,3.0,15.0,,9,1,0,h8,80,0.5,40,0,face,white,female,1
125,2018_06_27,10,actual,shiftingLetterNumber,30,,120,65.93039514074553,67.03040515027169,,1,,2,0.608765016528,5.0,15.0,,10,1,0,n6,80,0.5,40,0,face,white,male,2
125,2018_06_27,11,actual,shiftingLetterNumber,30,,120,72.02972368333212,73.12973625283848,,1,,4,0.625447644677,1.0,15.0,,11,1,0,g9,80,0.5,40,1,house,blue,new,4
125,2018_06_27,12,actual,shiftingLetterNumber,30,,120,74.12882617959258,75.22883516512593,,1,,3,0.850452054245,3.0,15.0,,12,1,0,o4,80,0.5,40,0,house,blue,old,3
125,2018_06_27,13,actual,shiftingLetterNumber,30,,120,78.22801622720726,79.32803007670373,,1,,,,4.0,,,13,0,0,h7,80,0.5,40,0,house,blue,new,4
125,2018_06_27,14,actual,shiftingLetterNumber,30,,120,83.32826969092639,84.42828379642015,,1,,2,0.608837207994,2.0,16.0,,14,0,0,h3,80,0.5,40,1,face,white,female,1
125,2018_06_27,15,actual,shiftingLetterNumber,30,,120,86.4274259467893,87.52743826029837,,1,,,,6.0,,,15,0,0,f2,80,0.5,40,1,house,blue,old,3
125,2018_06_27,16,actual,shiftingLetterNumber,30,,120,93.52777438580233,94.62778721130599,,1,,2,0.708768626104,6.0,15.0,,16,1,0,m1,80,0.5,40,1,face,white,male,2
125,2018_06_27,17,actual,shiftingLetterNumber,30,,120,100.62712366423511,101.72713776972887,,1,,4,0.833757650184,1.0,15.0,,17,1,0,p9,80,0.5,40,1,house,blue,new,4
125,2018_06_27,18,actual,shiftingLetterNumber,30,,120,102.72623588842544,103.82624487395879,,1,,2,0.908819620923,3.0,15.0,,18,1,0,p9,80,0.5,40,1,face,white,male,2
125,2018_06_27,19,actual,shiftingLetterNumber,30,,120,106.82541646410755,107.92543005760672,,1,,1,0.633782430799,4.0,15.0,,19,1,0,g3,80,0.5,40,0,face,white,female,1
125,2018_06_27,20,actual,shiftingLetterNumber,30,,120,111.92566429586805,113.0256745613915,,1,,3,0.775457922999,4.0,15.0,,20,1,0,n4,80,0.5,40,1,house,blue,old,3
125,2018_06_27,21,actual,shiftingLetterNumber,30,,120,117.02591903957727,118.12593160908364,,1,,3,0.683786283571,5.0,16.0,,21,0,0,i8,80,0.5,40,0,house,blue,new,4
125,2018_06_27,22,actual,shiftingLetterNumber,30,,120,123.12521430241031,124.22522815190678,,1,,2,0.875498908295,6.0,16.0,,22,0,0,f9,80,0.5,40,1,face,white,female,1
125,2018_06_27,23,actual,shiftingLetterNumber,30,,120,130.22452850910122,131.32454031061206,,1,,1,0.583773202066,3.0,16.0,,23,0,0,n8,80,0.5,40,0,face,white,male,2
125,2018_06_27,24,actual,shiftingLetterNumber,30,,120,134.3237546524433,135.4237649179704,,1,,3,0.942149293485,5.0,16.0,,24,0,0,h8,80,0.5,40,1,house,blue,new,4
125,2018_06_27,25,actual,shiftingLetterNumber,30,,120,140.42405598780897,141.5240652293396,,1,,3,0.833801425859,1.0,15.0,,25,1,0,f1,80,0.5,40,0,house,blue,old,3
125,2018_06_27,26,actual,shiftingLetterNumber,30,,120,142.52316130005056,143.62317386955692,,1,,3,0.608792664323,5.0,15.0,,26,1,0,o1,80,0.5,40,0,house,blue,old,3
125,2018_06_27,27,actual,shiftingLetterNumber,30,,120,148.62348746723,149.72349824474804,,1,,2,0.933849323104,2.0,16.0,,27,0,0,g1,80,0.5,40,1,face,white,female,1
125,2018_06_27,28,actual,shiftingLetterNumber,30,,120,151.72263245917566,152.82264451668743,,1,,,,2.0,,,28,0,0,h4,80,0.5,40,1,house,blue,old,3
125,2018_06_27,29,actual,shiftingLetterNumber,30,,120,154.82177437914652,155.92178720465017,,1,,3,0.808800651463,6.0,15.0,,29,1,0,i1,80,0.5,40,0,house,blue,old,3
125,2018_06_27,30,actual,shiftingLetterNumber,30,,120,161.92112954553522,163.02114134704607,,1,,2,0.858775320452,2.0,15.0,,30,1,0,p7,80,0.5,40,1,face,white,male,2
125,2018_06_27,31,actual,shiftingLetterNumber,30,,120,165.02127702604048,166.12128882755133,,1,,4,0.975588789232,4.0,15.0,,31,1,0,f9,80,0.5,40,1,house,blue,new,4
125,2018_06_27,32,actual,shiftingLetterNumber,30,,120,170.12053260916582,171.22054313068656,,1,,4,0.975503797858,4.0,15.0,,32,1,0,f6,80,0.5,40,0,house,blue,new,4
125,2018_06_27,33,actual,shiftingLetterNumber,30,,120,175.22077429696947,176.32078737847405,,1,,3,0.750485820394,2.0,15.0,,33,1,0,n2,80,0.5,40,0,house,blue,old,3
125,2018_06_27,34,actual,shiftingLetterNumber,30,,120,178.3199287608477,179.41994030636124,,1,,1,0.833824977686,6.0,16.0,,34,0,0,m7,80,0.5,40,1,face,white,male,2
125,2018_06_27,35,actual,shiftingLetterNumber,30,,120,185.4192583274271,186.51926756895773,,1,,3,0.73376223255,2.0,15.0,,35,1,0,o1,80,0.5,40,1,house,blue,old,3
125,2018_06_27,36,actual,shiftingLetterNumber,30,,120,188.51942449579292,189.619436809302,,1,,2,0.52547398688,1.0,16.0,,36,0,0,g8,80,0.5,40,1,face,white,female,1
125,2018_06_27,37,actual,shiftingLetterNumber,30,,120,190.6185285280444,191.71854237754087,,1,,3,0.842299282769,6.0,15.0,,37,1,0,n1,80,0.5,40,1,house,blue,old,3
125,2018_06_27,38,actual,shiftingLetterNumber,30,,120,197.71887824704754,198.81889260854223,,1,,2,0.600456598211,1.0,16.0,,38,0,0,i7,80,0.5,40,1,face,white,female,1
125,2018_06_27,39,actual,shiftingLetterNumber,30,,120,199.81798509527653,200.9179984327784,,1,,3,0.750445884692,4.0,15.0,,39,1,0,f2,80,0.5,40,1,house,blue,old,3
125,2018_06_27,40,actual,shiftingLetterNumber,30,,120,204.91722122254941,206.01723200006745,,1,,3,0.783802693048,1.0,15.0,,40,1,0,o3,80,0.5,40,0,house,blue,old,3
125,2018_06_27,41,actual,shiftingLetterNumber,30,,120,207.01633191075234,208.1163442242614,,1,,3,0.767139776755,2.0,16.0,,41,0,0,i6,80,0.5,40,0,house,blue,new,4
125,2018_06_27,42,actual,shiftingLetterNumber,30,,120,210.11548586263234,211.21549792014412,,1,,3,0.583771666083,1.0,15.0,,42,1,0,p3,80,0.5,40,0,house,blue,old,3
125,2018_06_27,43,actual,shiftingLetterNumber,30,,120,212.21458861489373,213.3146016963983,,1,,2,0.658798821078,1.0,15.0,,43,1,0,o7,80,0.5,40,1,face,white,male,2
125,2018_06_27,44,actual,shiftingLetterNumber,30,,120,214.31370160707957,215.41371161660572,,1,,2,0.425438377548,5.0,15.0,,44,1,0,o9,80,0.5,40,0,face,white,male,2
125,2018_06_27,45,actual,shiftingLetterNumber,30,,120,220.4129559102148,221.5129689917194,,1,,3,0.717157683823,4.0,16.0,,45,0,0,h9,80,0.5,40,1,house,blue,new,4
125,2018_06_27,46,actual,shiftingLetterNumber,30,,120,225.5122153333141,226.61222764682316,,1,,2,0.558779851617,6.0,16.0,,46,0,0,g8,80,0.5,40,1,face,white,female,1
125,2018_06_27,47,actual,shiftingLetterNumber,30,,120,232.611600451477,233.71161353298157,,1,,3,0.567141005544,6.0,15.0,,47,1,0,g4,80,0.5,40,1,house,blue,old,3
125,2018_06_27,48,actual,shiftingLetterNumber,30,,120,239.71193557859078,240.81194610011153,,1,,3,0.75880755061,3.0,16.0,,48,0,0,h8,80,0.5,40,0,house,blue,new,4
125,2018_06_27,49,actual,shiftingLetterNumber,30,,120,243.81113074616587,244.911142803674,,1,,1,0.692078062013,6.0,16.0,,49,0,0,o7,80,0.5,40,1,face,white,male,2
125,2018_06_27,50,actual,shiftingLetterNumber,30,,120,250.9104777206121,252.01049157010857,,1,,4,0.583792657922,1.0,15.0,,50,1,0,n7,80,0.5,40,1,house,blue,new,4
125,2018_06_27,51,actual,shiftingLetterNumber,30,,120,253.00958943280784,254.1096012343187,,1,,3,0.567134861591,5.0,16.0,,51,0,0,h7,80,0.5,40,0,house,blue,new,4
125,2018_06_27,52,actual,shiftingLetterNumber,30,,120,259.10888674362286,260.2088957291562,,1,,4,0.808782731598,4.0,16.0,,52,0,0,h3,80,0.5,40,0,house,blue,old,3
125,2018_06_27,53,actual,shiftingLetterNumber,30,,120,264.20810495102705,265.308115984546,,1,,3,0.625492444346,5.0,16.0,,53,0,0,p7,80,0.5,40,0,house,blue,new,4
125,2018_06_27,54,actual,shiftingLetterNumber,30,,120,270.3074268376622,271.4074378711812,,1,,4,0.625329885552,2.0,16.0,,54,0,0,n1,80,0.5,40,0,house,blue,old,3
125,2018_06_27,55,actual,shiftingLetterNumber,30,,120,273.40656030969694,274.50657006322217,,1,,3,0.758769918895,6.0,16.0,,55,0,0,f7,80,0.5,40,1,face,white,female,1
125,2018_06_27,56,actual,shiftingLetterNumber,30,,120,280.50592443601636,281.6059370055227,,1,,2,0.617124634467,6.0,16.0,,56,0,0,g9,80,0.5,40,0,face,white,female,1
125,2018_06_27,57,actual,shiftingLetterNumber,30,,120,287.6052691064833,288.7052826999825,,1,,3,0.75044153272,2.0,15.0,,57,1,0,i1,80,0.5,40,1,house,blue,old,3
125,2018_06_27,58,actual,shiftingLetterNumber,30,,120,290.7054240109319,291.80543581244274,,1,,3,0.600454806223,3.0,15.0,,58,1,0,h3,80,0.5,40,0,house,blue,old,3
125,2018_06_27,59,actual,shiftingLetterNumber,30,,120,294.80463914635766,295.904648131891,,1,,3,0.55045914539,3.0,15.0,,59,1,0,i2,80,0.5,40,0,house,blue,old,3
125,2018_06_27,60,actual,shiftingLetterNumber,30,,120,298.9048352665013,300.0048457880257,,1,,1,0.400446051088,4.0,15.0,,60,1,0,f1,80,0.5,40,1,face,white,female,1
125,2018_06_27,61,actual,shiftingLetterNumber,30,,120,304.0050797702861,305.10508952381497,,1,,2,0.608769624494,4.0,15.0,,61,1,0,m6,80,0.5,40,0,face,white,male,2
125,2018_06_27,62,actual,shiftingLetterNumber,30,,120,309.10432639348073,310.2043353790141,,1,,1,0.55879700349,4.0,15.0,,62,1,0,g8,80,0.5,40,0,face,white,female,1
125,2018_06_27,63,actual,shiftingLetterNumber,30,,120,314.2045913771144,315.30460138664057,,1,,3,0.650509090621,1.0,15.0,,63,1,0,o1,80,0.5,40,1,house,blue,old,3
125,2018_06_27,64,actual,shiftingLetterNumber,30,,120,316.30367851349,317.40369005900357,,1,,3,0.550494985127,2.0,16.0,,64,0,0,h6,80,0.5,40,0,house,blue,new,4
125,2018_06_27,65,actual,shiftingLetterNumber,30,,120,319.40382189802403,320.5038311395583,,1,,3,0.450479855637,6.0,16.0,,65,0,0,g9,80,0.5,40,0,house,blue,new,4
125,2018_06_27,66,actual,shiftingLetterNumber,30,,120,326.5041818569516,327.6041918664778,,1,,2,0.475487029984,4.0,15.0,,66,1,0,n9,80,0.5,40,1,face,white,male,2
125,2018_06_27,67,actual,shiftingLetterNumber,30,,120,331.60443173669773,332.7044404662338,,1,,1,0.617161754191,1.0,16.0,,67,0,0,o3,80,0.5,40,0,face,white,male,2
125,2018_06_27,68,actual,shiftingLetterNumber,30,,120,333.70454696144225,334.8045618349315,,1,,3,0.758797822687,2.0,15.0,,68,1,0,n1,80,0.5,40,1,house,blue,old,3
125,2018_06_27,69,actual,shiftingLetterNumber,30,,120,336.8046772900743,337.9046911395708,,1,,2,0.783792965121,2.0,16.0,,69,0,0,p3,80,0.5,40,0,house,blue,old,3
125,2018_06_27,70,actual,shiftingLetterNumber,30,,120,339.90484345844015,341.0048570519393,,1,,2,0.450443759906,1.0,15.0,,70,1,0,n1,80,0.5,40,1,face,white,male,2
125,2018_06_27,71,actual,shiftingLetterNumber,30,,120,342.0049412753142,343.1049546128161,,1,,4,0.844117637273,2.0,16.0,,71,0,0,m2,80,0.5,40,1,house,blue,old,3
125,2018_06_27,72,actual,shiftingLetterNumber,30,,120,345.1040995791627,346.2041131726619,,1,,3,0.817186893204,3.0,16.0,,72,0,0,n7,80,0.5,40,0,house,blue,new,4
125,2018_06_27,73,actual,shiftingLetterNumber,30,,120,349.2042903233487,350.30430084486943,,1,,3,0.958803761841,3.0,16.0,,73,0,0,h8,80,0.5,40,0,house,blue,new,4
125,2018_06_27,74,actual,shiftingLetterNumber,30,,120,353.30450615534573,354.404517444862,,1,,3,0.767079873196,5.0,16.0,,74,0,0,h9,80,0.5,40,0,house,blue,new,4
125,2018_06_27,75,actual,shiftingLetterNumber,30,,120,359.4047952028013,360.50480700431217,,1,,4,0.658794469109,3.0,15.0,,75,1,0,g6,80,0.5,40,0,house,blue,new,4
125,2018_06_27,76,actual,shiftingLetterNumber,30,,120,363.50398550640966,364.60399474794394,,1,,4,0.517182976433,5.0,15.0,,76,1,0,i9,80,0.5,40,0,house,blue,new,4
125,2018_06_27,77,actual,shiftingLetterNumber,30,,120,369.60429912968175,370.70431093119623,,1,,4,0.458746290267,6.0,16.0,,77,0,0,m1,80,0.5,40,0,house,blue,old,3
125,2018_06_27,78,actual,shiftingLetterNumber,30,,120,376.7036356082099,377.803647665718,,1,,3,0.717134899991,3.0,16.0,,78,0,0,o7,80,0.5,40,1,face,white,male,2
125,2018_06_27,79,actual,shiftingLetterNumber,30,,120,380.802837943731,381.90284692926434,,1,,3,0.683774763656,3.0,16.0,,79,0,0,i9,80,0.5,40,1,house,blue,new,4
125,2018_06_27,80,actual,shiftingLetterNumber,30,,120,384.9020635750785,386.00207281660914,,1,,4,0.583780882011,4.0,16.0,,80,0,0,i4,80,0.5,40,0,house,blue,old,3
