participant,scriptDate,trialNo,blockType,task,fixationFrames,postFixationFrames,targetFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc,creditsEarned,letternumber,trials,switchProportion,switches,switch,question,colourCue,correctAnswer,correctKey
139,2018_06_27,1,actual,shiftingLetterNumber,30,,120,19.16954500259635,20.2695560616321,13.1659579839,1,,,,2.0,,,1,0,0,n3,80,0.5,40,0,house,blue,old,1
139,2018_06_27,2,actual,shiftingLetterNumber,30,,120,22.269306721333123,23.369318548358933,,1,,2,0.650437958297,2.0,16.0,,2,0,0,g4,80,0.5,40,0,house,blue,old,1
139,2018_06_27,3,actual,shiftingLetterNumber,30,,120,25.368373922383398,26.468383189445376,,1,,3,0.967127528091,3.0,15.0,,3,1,0,m8,80,0.5,40,1,face,white,male,3
139,2018_06_27,4,actual,shiftingLetterNumber,30,,120,29.4675570897125,30.567569940722024,,1,,4,0.558766999427,1.0,15.0,,4,1,0,i4,80,0.5,40,0,face,white,female,4
139,2018_06_27,5,actual,shiftingLetterNumber,30,,120,31.56662531474649,32.666636885775006,,1,,3,0.683817046684,2.0,15.0,,5,1,0,n7,80,0.5,40,0,face,white,male,3
139,2018_06_27,6,actual,shiftingLetterNumber,30,,120,34.66576521871866,35.765776533749886,,1,,1,0.667107662784,2.0,15.0,,6,1,0,f2,80,0.5,40,1,house,blue,old,1
139,2018_06_27,7,actual,shiftingLetterNumber,30,,120,37.76490025876046,38.864912085784454,,1,,1,0.608822192209,5.0,15.0,,7,1,0,n4,80,0.5,40,0,house,blue,old,1
139,2018_06_27,8,actual,shiftingLetterNumber,30,,120,43.86513787443255,44.96514970145654,,1,,3,0.49210533322,1.0,15.0,,8,1,0,n1,80,0.5,40,1,face,white,male,3
139,2018_06_27,9,actual,shiftingLetterNumber,30,,120,45.964241682939246,47.064255813929776,,1,,4,0.600430124812,5.0,16.0,,9,0,0,i4,80,0.5,40,1,house,blue,old,1
139,2018_06_27,10,actual,shiftingLetterNumber,30,,120,52.064495938364416,53.164506741402874,,1,,,,6.0,,,10,0,0,o3,80,0.5,40,0,house,blue,old,1
139,2018_06_27,11,actual,shiftingLetterNumber,30,,120,59.16377433627895,60.26378795527671,,1,,1,0.3921201298,6.0,16.0,,11,0,0,m8,80,0.5,40,0,house,blue,new,2
