stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
m,go,11,999,1,actual,low,m,gonogo,29,,27,27,23.41557478904724,23.898919820785522,1,,,,1.0,18.0,,1,0.0
m,go,11,999,2,actual,low,m,gonogo,29,,27,27,24.883543968200684,25.366935968399048,1,,1,0.418869018555,1.0,15.0,,2,1.0
m,go,11,999,3,actual,low,m,gonogo,29,,27,27,26.351229906082153,26.83463478088379,1,,1,0.267259836197,1.0,15.0,,3,1.0
m,go,11,999,4,actual,low,m,gonogo,29,,27,27,27.81932783126831,28.302706003189087,1,,1,0.283443927765,1.0,15.0,,4,1.0
m,go,11,999,5,actual,low,m,gonogo,29,,27,27,29.28734588623047,29.770742893218994,1,,1,0.318101167679,1.0,15.0,,5,1.0
m,go,11,999,6,actual,low,m,gonogo,29,,27,27,30.755393981933594,31.24006700515747,1,,1,0.271638870239,1.0,15.0,,6,1.0
m,go,11,999,7,actual,low,m,gonogo,29,,27,27,32.22471785545349,32.708128929138184,1,,1,0.272239923477,1.0,15.0,,7,1.0
m,go,11,999,8,actual,low,m,gonogo,29,,27,27,33.69278597831726,34.176193952560425,1,,1,0.139862060547,1.0,15.0,,8,1.0
m,go,11,999,9,actual,low,m,gonogo,29,,27,27,35.16079878807068,35.64415979385376,1,,1,0.0170388221741,1.0,15.0,,9,1.0
w,nogo,12,999,10,actual,low,m,gonogo,29,,27,27,36.62882399559021,37.112231969833374,1,,1,0.288618803024,1.0,16.0,,10,0.0
m,go,11,999,11,actual,low,m,gonogo,29,,27,27,38.09649085998535,38.57985186576843,1,,,,1.0,18.0,,11,0.0
w,nogo,12,999,12,actual,low,m,gonogo,29,,27,27,39.564496994018555,40.04789400100708,1,,,,1.0,19.0,,12,1.0
m,go,11,999,1,actual,high,m,gonogo,29,,27,27,41.04240393638611,41.525818824768066,2,,,,1.0,18.0,,13,0.0
m,go,11,999,2,actual,high,m,gonogo,29,,27,27,42.51043391227722,42.99379086494446,2,,,0.318804979324,1.0,,,14,
