"","food","subj_idx","block","cond","resp","rt","pre_liking","post_liking","taste","health","healthy","tasty","pre_liking_c","post_liking_c","taste_c","health_c","response","post_pre","post_pre_c"
"433","Smartfood_2_8Chips.jpg",102,6,"Health",2,1.31034754644861,3,1,2,3,"unhealthy","untasty",-0.538071065989848,-2.35032334330019,-1.68270634865447,-0.332522077741464,0,-2,-1.81225227731034
"434","Edamame_2_15pieces.jpg",102,6,"Health",2,1.26841116576179,5,1,4,3,"unhealthy","tasty",1.46192893401015,-2.35032334330019,0.317293651345525,-0.332522077741464,0,-4,-3.81225227731034
"435","YorkPeppermintPatties_4_12.jpg",102,6,"Health",1,0.67245151291354,1,1,1,1,"unhealthy","untasty",-2.53807106598985,-2.35032334330019,-2.68270634865447,-2.33252207774146,0,0,0.18774772268966
"436","Relish_4_2tbsp.jpg",102,6,"Health",2,1.12565528794585,4,3,3,3,"unhealthy","untasty",0.461928934010152,-0.350323343300188,-0.682706348654475,-0.332522077741464,0,-1,-0.81225227731034
"437","CoffeeCrisp_1_0.25bar.jpg",102,6,"Health",1,0.632653729950107,1,1,1,1,"unhealthy","untasty",-2.53807106598985,-2.35032334330019,-2.68270634865447,-2.33252207774146,0,0,0.18774772268966
"438","RedPepper_2_2pc.jpg",102,6,"Health",2,0.979741176943207,1,1,1,5,"healthy","untasty",-2.53807106598985,-2.35032334330019,-2.68270634865447,1.66747792225854,0,0,0.18774772268966
"439","CrackerJacks_1_5pieces.jpg",102,6,"Decrease",2,1.40082297868867,5,2,1,1,"unhealthy","untasty",1.46192893401015,-1.35032334330019,-2.68270634865447,-2.33252207774146,0,-3,-2.81225227731034
"440","Shreddies_2_1T.jpg",102,6,"Decrease",2,1.12292405751214,3,2,2,3,"unhealthy","untasty",-0.538071065989848,-1.35032334330019,-1.68270634865447,-0.332522077741464,0,-1,-0.81225227731034
"441","Prunes_5_1c.jpg",102,6,"Decrease",1,0.612717718922795,1,3,2,3,"unhealthy","untasty",-2.53807106598985,-0.350323343300188,-1.68270634865447,-0.332522077741464,0,2,2.18774772268966
"442","AppleChips_5_1c..jpg",102,6,"Decrease",2,1.96983537866254,4,3,4,3,"unhealthy","tasty",0.461928934010152,-0.350323343300188,0.317293651345525,-0.332522077741464,0,-1,-0.81225227731034
"443","PickledOnions_4_0.5cup..jpg",102,6,"Decrease",1,0.816921801662829,4,2,3,3,"unhealthy","untasty",0.461928934010152,-1.35032334330019,-0.682706348654475,-0.332522077741464,0,-2,-1.81225227731034
"444","RiceKrispiesCereal_7_2cups.jpg",102,6,"Decrease",1,0.790337040340091,1,1,1,4,"healthy","untasty",-2.53807106598985,-2.35032334330019,-2.68270634865447,0.667477922258536,0,0,0.18774772268966
"445","Pringles_2_3Chips.jpg",102,6,"Decrease",3,1.3241511528322,5,4,4,3,"unhealthy","tasty",1.46192893401015,0.649676656699812,0.317293651345525,-0.332522077741464,1,-1,-0.81225227731034
"446","Asparagus_6_FullPack.jpg",102,6,"Decrease",1,0.689185771287157,1,2,1,4,"healthy","untasty",-2.53807106598985,-1.35032334330019,-2.68270634865447,0.667477922258536,0,1,1.18774772268966
"447","PopTartStrawberry_5_3tarts.jpg",102,6,"Decrease",2,1.34497419295803,3,3,5,3,"unhealthy","tasty",-0.538071065989848,-0.350323343300188,1.31729365134553,-0.332522077741464,0,0,0.18774772268966
"448","FrozenOkra_5_0.5box.jpg",102,6,"Decrease",1,1.24047653302478,1,1,1,3,"unhealthy","untasty",-2.53807106598985,-2.35032334330019,-2.68270634865447,-0.332522077741464,0,0,0.18774772268966
"449","WelchsFruitSnacks_1_1bag.jpg",102,7,"Natural",2,1.82968682880528,4,3,4,3,"unhealthy","tasty",0.461928934010152,-0.350323343300188,0.317293651345525,-0.332522077741464,0,-1,-0.81225227731034
"450","AllBranBar_3_1bar.jpg",102,7,"Natural",1,0.646265082697937,3,2,3,3,"unhealthy","untasty",-0.538071065989848,-1.35032334330019,-0.682706348654475,-0.332522077741464,0,-1,-0.81225227731034
"451","FrozenBroccoli_6_0.5bag.jpg",102,7,"Natural",1,0.554341476250556,3,1,1,5,"healthy","untasty",-0.538071065989848,-2.35032334330019,-2.68270634865447,1.66747792225854,0,-2,-1.81225227731034
"452","Cheerios_5_2c.jpg",102,7,"Natural",1,0.438511347572785,1,1,1,3,"unhealthy","untasty",-2.53807106598985,-2.35032334330019,-2.68270634865447,-0.332522077741464,0,0,0.18774772268966
