participant,scriptDate,trialNo,blockType,task,fixationFrames,postFixationFrames,targetFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc,creditsEarned,letternumber,trials,switchProportion,switches,switch,question,colourCue,correctAnswer,correctKey
115,2018_06_27,1,actual,shiftingLetterNumber,30,,120,19.41934613477497,20.519356656295713,13.4164615482,1,,2,0.83378094601,3.0,15.0,,1,1,0,i9,80,0.5,40,0,house,white,new,2
115,2018_06_27,2,actual,shiftingLetterNumber,30,,120,23.518967795182107,24.61897934069566,,1,,4,0.700501935476,6.0,16.0,,2,0,0,h7,80,0.5,40,0,house,white,new,2
115,2018_06_27,3,actual,shiftingLetterNumber,30,,120,30.618329105524026,31.718339371047477,,1,,3,0.725477622054,5.0,15.0,,3,1,0,n9,80,0.5,40,1,face,blue,male,3
115,2018_06_27,4,actual,shiftingLetterNumber,30,,120,36.71764638419336,37.81765895369972,,1,,2,0.650511394604,6.0,16.0,,4,0,0,o7,80,0.5,40,0,face,blue,male,3
115,2018_06_27,5,actual,shiftingLetterNumber,30,,120,43.81698286271785,44.916992616246716,,1,,4,0.592127188047,5.0,16.0,,5,0,0,n4,80,0.5,40,1,house,white,old,1
115,2018_06_27,6,actual,shiftingLetterNumber,30,,120,49.9162791495437,51.01629171905006,,1,,3,0.617123610471,2.0,15.0,,6,1,0,m2,80,0.5,40,1,face,blue,male,3
115,2018_06_27,7,actual,shiftingLetterNumber,30,,120,53.0154302854462,54.11544055096965,,1,,4,0.93385879503,3.0,15.0,,7,1,0,i1,80,0.5,40,0,face,blue,female,4
115,2018_06_27,8,actual,shiftingLetterNumber,30,,120,57.11462750100327,58.21464135050337,,1,,,,2.0,,,8,0,0,f7,80,0.5,40,0,face,blue,female,4
115,2018_06_27,9,actual,shiftingLetterNumber,30,,120,60.2137817088842,61.31379530238337,,1,,4,0.842131604015,2.0,16.0,,9,0,0,g8,80,0.5,40,1,house,white,new,2
115,2018_06_27,10,actual,shiftingLetterNumber,30,,120,63.31289956503315,64.41291187854222,,1,,3,0.825461263776,6.0,15.0,,10,1,0,n9,80,0.5,40,1,face,blue,male,3
115,2018_06_27,11,actual,shiftingLetterNumber,30,,120,70.41228289121136,71.51229162074742,,1,,3,0.608759128572,3.0,16.0,,11,0,0,f6,80,0.5,40,0,face,blue,female,4
115,2018_06_27,12,actual,shiftingLetterNumber,30,,120,74.51147575480354,75.6114870443198,,1,,4,0.567084685961,6.0,16.0,,12,0,0,g4,80,0.5,40,1,house,white,old,1
115,2018_06_27,13,actual,shiftingLetterNumber,30,,120,81.6118067859461,82.71182677939578,,1,,4,0.55877703564,6.0,16.0,,13,0,0,g6,80,0.5,40,0,house,white,new,2
115,2018_06_27,14,actual,shiftingLetterNumber,30,,120,88.71118192018548,89.81119525768736,,1,,2,0.708809329801,5.0,16.0,,14,0,0,f4,80,0.5,40,0,house,white,old,1
115,2018_06_27,15,actual,shiftingLetterNumber,30,,120,94.81046950307427,95.91048335257074,,1,,4,0.517240832003,2.0,16.0,,15,0,0,g6,80,0.5,40,0,house,white,new,2
115,2018_06_27,16,actual,shiftingLetterNumber,30,,120,97.9096019511162,99.00961247263695,,1,,3,0.792166406958,4.0,16.0,,16,0,0,n9,80,0.5,40,0,house,white,new,2
115,2018_06_27,17,actual,shiftingLetterNumber,30,,120,103.00888441404095,104.10890287150323,,1,,3,0.808767883707,2.0,16.0,,17,0,0,m3,80,0.5,40,0,house,white,old,1
115,2018_06_27,18,actual,shiftingLetterNumber,30,,120,106.10802761400191,107.20804018350827,,1,,3,0.933811435385,6.0,15.0,,18,1,0,p7,80,0.5,40,1,face,blue,male,3
115,2018_06_27,19,actual,shiftingLetterNumber,30,,120,113.20738175639781,114.30739509389969,,1,,3,0.708808305804,4.0,16.0,,19,0,0,o1,80,0.5,40,1,house,white,old,1
115,2018_06_27,20,actual,shiftingLetterNumber,30,,120,118.30659356384785,119.40660331737672,,1,,3,0.567150221475,4.0,15.0,,20,1,0,n2,80,0.5,40,1,face,blue,male,3
115,2018_06_27,21,actual,shiftingLetterNumber,30,,120,123.40587295479781,124.50588526830688,,1,,4,0.592107988188,4.0,15.0,,21,1,0,g2,80,0.5,40,0,face,blue,female,4
115,2018_06_27,22,actual,shiftingLetterNumber,30,,120,128.5061200185628,129.60613361206197,,1,,1,0.550505993044,2.0,15.0,,22,1,0,g4,80,0.5,40,1,house,white,old,1
115,2018_06_27,23,actual,shiftingLetterNumber,30,,120,131.60528344237537,132.70529473189163,,1,,1,0.667169958931,1.0,16.0,,23,0,0,o6,80,0.5,40,1,face,blue,male,3
115,2018_06_27,24,actual,shiftingLetterNumber,30,,120,133.70439464257288,134.80440670008466,,1,,3,0.733865399783,5.0,16.0,,24,0,0,o2,80,0.5,40,1,house,white,old,1
115,2018_06_27,25,actual,shiftingLetterNumber,30,,120,139.80367352152825,140.9036827630589,,1,,,,6.0,,,25,0,0,p8,80,0.5,40,0,house,white,new,2
115,2018_06_27,26,actual,shiftingLetterNumber,30,,120,146.90302433594843,148.00303460147188,,1,,1,0.750465852543,5.0,16.0,,26,0,0,i4,80,0.5,40,1,face,blue,female,4
115,2018_06_27,27,actual,shiftingLetterNumber,30,,120,153.00232164676345,154.10233370427522,,1,,3,0.709051248003,1.0,15.0,,27,1,0,m2,80,0.5,40,0,face,blue,male,3
115,2018_06_27,28,actual,shiftingLetterNumber,30,,120,155.1014354069448,156.20144772045023,,1,,3,0.783797829085,3.0,16.0,,28,0,0,h4,80,0.5,40,0,face,blue,female,4
115,2018_06_27,29,actual,shiftingLetterNumber,30,,120,159.20061035066828,160.30062061619174,,1,,3,0.792187654799,5.0,16.0,,29,0,0,g7,80,0.5,40,1,house,white,new,2
115,2018_06_27,30,actual,shiftingLetterNumber,30,,120,165.29991764541046,166.39992893492672,,1,,1,0.725475830066,3.0,16.0,,30,0,0,o7,80,0.5,40,0,house,white,new,2
115,2018_06_27,31,actual,shiftingLetterNumber,30,,120,169.40012246949118,170.50013683098223,,1,,1,0.683806763416,1.0,16.0,,31,0,0,i1,80,0.5,40,1,face,blue,female,4
115,2018_06_27,32,actual,shiftingLetterNumber,30,,120,171.50024921415024,172.60026255164848,,1,,3,0.892167968545,1.0,16.0,,32,0,0,o2,80,0.5,40,1,house,white,old,1
115,2018_06_27,33,actual,shiftingLetterNumber,30,,120,173.6003296231538,174.70033937667904,,1,,1,0.625488092377,3.0,15.0,,33,1,0,i3,80,0.5,40,0,house,white,old,1
