participant,scriptDate,trialNo,blockType,task,fixationFrames,postFixationFrames,targetFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc,creditsEarned,letternumber,trials,switchProportion,switches,switch,question,colourCue,correctAnswer,correctKey
159,2018_06_27,1,actual,shiftingLetterNumber,30,,120,19.274271177945593,20.374283491485585,13.2662015852,1,,,,2.0,,,1,0,0,f2,80,0.5,40,0,house,blue,old,3
159,2018_06_27,2,actual,shiftingLetterNumber,30,,120,22.37365808652703,23.473669888069708,,1,,3,0.575463952943,2.0,15.0,,2,1,0,n1,80,0.5,40,0,house,blue,old,3
159,2018_06_27,3,actual,shiftingLetterNumber,30,,120,25.47281766821561,26.572828957760066,,1,,,,4.0,,,3,0,0,i3,80,0.5,40,1,face,white,female,2
159,2018_06_27,4,actual,shiftingLetterNumber,30,,120,30.57209628932378,31.672105018881666,,1,,1,0.842051584261,6.0,16.0,,4,0,0,h6,80,0.5,40,1,house,blue,new,4
159,2018_06_27,5,actual,shiftingLetterNumber,30,,120,37.67144787007783,38.77145864762588,,1,,4,0.933799745998,1.0,15.0,,5,1,0,o9,80,0.5,40,0,house,blue,new,4
159,2018_06_27,6,actual,shiftingLetterNumber,30,,120,39.77055138803826,40.87056549357021,,1,,,,3.0,,,6,0,0,m2,80,0.5,40,1,face,white,male,1
159,2018_06_27,7,actual,shiftingLetterNumber,30,,120,43.87077131656861,44.97078209411666,,1,,,,5.0,,,7,0,0,o9,80,0.5,40,0,face,white,male,1
159,2018_06_27,8,actual,shiftingLetterNumber,30,,120,49.97008884948809,51.070101163028085,,1,,,,3.0,,,8,0,0,f8,80,0.5,40,0,face,white,female,2
159,2018_06_27,9,actual,shiftingLetterNumber,30,,120,54.06929886293074,55.16931117647073,,1,,2,0.483698127292,1.0,15.0,,9,1,0,f8,80,0.5,40,0,face,white,female,2
159,2018_06_27,10,actual,shiftingLetterNumber,30,,120,56.16842209279548,57.26843133435068,,1,,,,2.0,,,10,0,0,m3,80,0.5,40,0,face,white,male,1
159,2018_06_27,11,actual,shiftingLetterNumber,30,,120,59.268562149713944,60.36857523125036,,1,,4,0.900407268418,3.0,15.0,,11,1,0,i7,80,0.5,40,1,house,blue,new,4
159,2018_06_27,12,actual,shiftingLetterNumber,30,,120,63.36773837132114,64.46774863687097,,1,,,,1.0,,,12,0,0,g6,80,0.5,40,0,house,blue,new,4
159,2018_06_27,13,actual,shiftingLetterNumber,30,,120,65.46688361707857,66.56689516262213,,1,,,,4.0,,,13,0,0,m9,80,0.5,40,0,house,blue,new,4
159,2018_06_27,14,actual,shiftingLetterNumber,30,,120,70.5661481582556,71.66615765580991,,1,,4,0.417072147361,6.0,15.0,,14,1,0,g7,80,0.5,40,0,house,blue,new,4
159,2018_06_27,15,actual,shiftingLetterNumber,30,,120,77.66550562698103,78.76551666052728,,1,,,,6.0,,,15,0,0,p3,80,0.5,40,1,face,white,male,1
159,2018_06_27,16,actual,shiftingLetterNumber,30,,120,84.76486616769125,85.8648769452393,,1,,3,0.792050675466,4.0,15.0,,16,1,0,m1,80,0.5,40,1,house,blue,old,3
