participant,scriptDate,trialNo,blockType,task,fixationFrames,postFixationFrames,targetFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc,creditsEarned,letternumber,trials,switchProportion,switches,switch,question,colourCue,correctAnswer,correctKey
104,2018_06_27,1,actual,shiftingLetterNumber,30,,120,44.794761729099264,45.89477532256387,38.7896021006,1,,,,5.0,,,1,0,0,i6,80,0.5,40,0,face,blue,female,2
104,2018_06_27,2,actual,shiftingLetterNumber,30,,120,50.89505743174777,51.99506846523764,,1,,,,5.0,,,2,0,0,h8,80,0.5,40,1,house,white,new,3
104,2018_06_27,3,actual,shiftingLetterNumber,30,,120,56.99433912851782,58.09435272198243,,1,,,,1.0,,,3,0,0,m3,80,0.5,40,1,face,blue,male,1
104,2018_06_27,4,actual,shiftingLetterNumber,30,,120,59.09345365895933,60.1934646924492,,1,,,,3.0,,,4,0,0,p8,80,0.5,40,1,house,white,new,3
104,2018_06_27,5,actual,shiftingLetterNumber,30,,120,63.193679986299685,64.29369101978955,,1,,,,2.0,,,5,0,0,f8,80,0.5,40,0,house,white,new,3
104,2018_06_27,6,actual,shiftingLetterNumber,30,,120,66.29278248485934,67.39280401424548,,1,,3,0.958827675066,2.0,16.0,,6,0,0,n2,80,0.5,40,0,house,white,old,4
104,2018_06_27,7,actual,shiftingLetterNumber,30,,120,69.39194079086337,70.49195054436677,,1,,2,0.9171574351,1.0,15.0,,7,1,0,h2,80,0.5,40,1,face,blue,female,2
104,2018_06_27,8,actual,shiftingLetterNumber,30,,120,71.49102588159803,72.59104536300401,,1,,2,0.942184769228,1.0,15.0,,8,1,0,i1,80,0.5,40,0,face,blue,female,2
104,2018_06_27,9,actual,shiftingLetterNumber,30,,120,73.59013862005668,74.69014734956909,,1,,1,0.867158062294,3.0,15.0,,9,1,0,p9,80,0.5,40,0,face,blue,male,1
104,2018_06_27,10,actual,shiftingLetterNumber,30,,120,77.68934249360427,78.78935224710767,,1,,,,2.0,,,10,0,0,p1,80,0.5,40,0,face,blue,male,1
104,2018_06_27,11,actual,shiftingLetterNumber,30,,120,80.78846137600158,81.88847292148603,,1,,2,0.77549484946,1.0,15.0,,11,1,0,f3,80,0.5,40,0,face,blue,female,2
104,2018_06_27,12,actual,shiftingLetterNumber,30,,120,82.8875569626307,83.9875715800863,,1,,,,1.0,,,12,0,0,o6,80,0.5,40,1,house,white,new,3
104,2018_06_27,13,actual,shiftingLetterNumber,30,,120,84.98666074117864,86.08667407864596,,1,,3,0.825504206166,5.0,15.0,,13,1,0,p7,80,0.5,40,0,house,white,new,3
104,2018_06_27,14,actual,shiftingLetterNumber,30,,120,91.08601744520274,92.18602899068719,,1,,,,4.0,,,14,0,0,g1,80,0.5,40,1,face,blue,female,2
104,2018_06_27,15,actual,shiftingLetterNumber,30,,120,96.18517139924916,97.28518652869752,,1,,,,3.0,,,15,0,0,i2,80,0.5,40,0,face,blue,female,2
104,2018_06_27,16,actual,shiftingLetterNumber,30,,120,100.2843914006371,101.3844055060963,,1,,1,0.658767950859,6.0,15.0,,16,1,0,p9,80,0.5,40,0,face,blue,male,1
104,2018_06_27,17,actual,shiftingLetterNumber,30,,120,107.38369050523397,108.4836994907455,,1,,3,0.883834503797,2.0,16.0,,17,0,0,p3,80,0.5,40,1,house,white,old,4
104,2018_06_27,18,actual,shiftingLetterNumber,30,,120,110.48383875335458,111.58384825085886,,1,,,,4.0,,,18,0,0,o4,80,0.5,40,0,house,white,old,4
104,2018_06_27,19,actual,shiftingLetterNumber,30,,120,115.58308793845026,116.68310178791216,,1,,1,0.892159028685,1.0,15.0,,19,1,0,p3,80,0.5,40,1,face,blue,male,1
104,2018_06_27,20,actual,shiftingLetterNumber,30,,120,117.68316885924287,118.78317861274445,,1,,1,0.583930682036,6.0,15.0,,20,1,0,p1,80,0.5,40,0,face,blue,male,1
